name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Xeon Gold 6226R ,1372.99,Server,FCLGA3647 ,2.9,3.9,32,16,150,24258,2179,Intel
Xeon Gold 6148 ,3217.99,Server,FCLGA3647 ,2.4,3.7,40,20,150,24133,2056,Intel
Xeon Gold 6138 ,2679.99,Server,FCLGA3647 ,2.0,3.7,40,20,125,24115,2224,Intel
Xeon Gold 6242 ,2489.95,Server,FCLGA3647 ,2.8,3.9,32,16,150,24046,2081,Intel
Xeon E5-2699 v4 ,1800.03,Server,FCLGA2011-3 ,2.2,3.6,44,22,145,23996,2087,Intel
Ryzen 7 3800XT,379.0,Desktop,AM4 ,3.9,4.7,16,8,105,23949,2860,Amd
Xeon E5-2679 v4 ,2702.0,Server,FCLGA2011-3 ,2.5,3.3,40,20,200,23908,2055,Intel
Core i9-10900KF ,549.99,Desktop,FCLGA1200 ,3.7,5.3,20,10,125,23738,3131,Intel
Xeon W-2175 ,2098.36,Server,FCLGA2066 ,2.5,4.3,28,14,140,23616,2495,Intel
EPYC 7351,1015.0,Server,SP3 ,2.4,2.9,32,16,155,23566,1821,Amd
Xeon W-2195 ,2692.58,Server,FCLGA2066 ,2.3,4.3,36,18,140,23487,2360,Intel
Ryzen 7 3800X,339.99,Desktop,AM4 ,3.9,4.5,16,8,105,23359,2745,Amd
Core i9-7920X ,467.88,Desktop,FCLGA2066 ,2.9,4.4,24,12,140,23356,2502,Intel
Xeon Gold 6230 ,1970.7,Server,FCLGA3647 ,2.1,3.9,40,20,125,23330,2185,Intel
Xeon W-2170B ,,Server,FCLGA-2066 ,2.5,4.3,28,14,nan,23300,2559,Intel
Core i9-10850K ,449.99,Desktop,FCLGA1200 ,3.6,5.1,20,10,125,23292,3108,Intel
Ryzen Threadripper 1920X,640.24,Desktop,sTR4 ,3.5,4.0,24,12,180,23219,2309,Amd
Xeon Platinum 8176 ,8725.0,Server,FCLGA3647 ,2.1,3.8,56,28,165,23179,2048,Intel
Xeon Gold 6146 ,4608.95,Server,FCLGA3647 ,3.2,4.2,24,12,165,23014,2510,Intel
Xeon Platinum 8160 ,4489.0,Server,FCLGA3647 ,2.1,3.7,48,24,150,22996,2120,Intel
Xeon W-1290P ,539.0,Server,FCLGA1200 ,3.7,5.3,20,10,125,22929,3257,Intel
Ryzen 7 3700X,304.99,Desktop,AM4 ,3.6,4.4,16,8,65,22824,2690,Amd
Xeon Gold 6140 ,2863.75,Server,FCLGA3647 ,2.3,3.7,36,18,140,22733,1840,Intel
Core i9-10900X ,589.0,Desktop,FCLGA2066 ,3.7,4.7,20,10,165,22697,2726,Intel
Xeon W-2255 ,778.0,,FCLGA2066 ,3.7,4.7,20,10,165,22687,2776,Intel
EPYC 7F32,,Server,SP3 ,3.7,3.9,16,8,180,22303,2447,Amd
Xeon Gold 6152 ,4108.95,Server,FCLGA3647 ,2.1,3.7,44,22,140,22291,2155,Intel
Core i9-10910 ,,Desktop,FCLGA1200 ,3.6,5.0,20,10,125,22289,3101,Intel
Ryzen 5 5600X,299.0,Desktop,AM4 ,3.7,4.6,12,6,65,22261,3393,Amd
Xeon E5-2698 v4 ,3629.59,Server,FCLGA2011-3 ,2.2,3.6,40,20,135,22141,2034,Intel
Xeon Gold 5218 ,1201.54,Server,FCLGA3647 ,2.3,3.9,32,16,125,22117,2245,Intel
Core i9-9900X ,598.07,Desktop,FCLGA2066 ,3.5,4.5,20,10,165,21908,2615,Intel
Ryzen 7 PRO 3700,279.99,Desktop,AM4 ,3.6,4.4,16,8,65,21904,2629,Amd
Xeon W-1290 ,494.0,Server,FCLGA1200 ,3.2,5.2,20,10,80,21882,3140,Intel
Xeon Gold 6136 ,2654.82,Server,FCLGA3647 ,3.0,3.7,24,12,150,21835,2191,Intel
Xeon Gold 6130T ,1988.0,Server,FCLGA3647 ,2.1,3.7,32,16,125,21803,1698,Intel
Core i9-10900F ,423.0,Desktop,FCLGA1200 ,2.8,5.2,20,10,65,21594,3127,Intel
Ryzen 7 4700G,,Desktop,AM4 ,3.6,4.4,16,8,65,21493,2796,Amd
Core i9-7900X ,698.99,Desktop,FCLGA2066 ,3.3,4.5,20,10,140,21462,2599,Intel
Core i9-10900 ,469.0,Desktop,FCLGA1200 ,2.8,5.2,20,10,65,21286,3110,Intel
EPYC 7281,727.22,Server,SP3 ,2.1,2.7,32,16,155,21230,1613,Amd
Ryzen 7 PRO 4750G,289.0,Desktop,AM4 ,3.6,4.4,16,8,65,21223,2755,Amd
EPYC 7262,668.11,Server,SP3 ,3.2,3.4,16,8,155,21127,1935,Amd
Xeon E5-2696 v4 ,3179.0,Server,FCLGA2011-3 ,2.2,3.6,44,22,145,21031,1787,Intel
Xeon W-2155 ,1530.39,Server,FCLGA2066 ,3.3,4.5,20,10,140,20887,2649,Intel
Ryzen Threadripper 2990X,,Desktop,TR4 ,3.4,4.2,64,32,250,20885,2372,Amd
Ryzen 7 PRO 4700G,,Desktop,AM4 ,3.6,4.4,16,8,65,20848,2700,Amd
EPYC 7451,2583.0,Server,SP3 ,2.3,3.2,48,24,180,20738,2078,Amd
Ryzen 7 4700GE,,Desktop,AM4 ,3.1,4.3,16,8,35,20671,2737,Amd
Ryzen 7 PRO 4750GE,,Desktop,AM4 ,3.1,4.3,16,8,35,20456,2737,Amd
Core i9-9820X ,536.0,Desktop,FCLGA2066 ,3.3,4.2,20,10,165,20423,2415,Intel
Opteron 6344,379.0,Server,,2.6,3.2,1,1,115,6069,1231,Amd
Core i5-8250U ,,Laptop, FC-BGA1356 ,1.6,3.4,8,4,15,6067,1981,Intel
Core i5-6600 ,262.13,Desktop,LGA 1151 ,3.3,3.9,4,4,65,6059,2261,Intel
Xeon E3-1220 v6 ,214.99,Server,FCLGA1151 ,3.0,3.5,4,4,72,6048,2072,Intel
